ds,yhat,Date,Close,Error
2025-05-26,98839.64389020103,2025-05-26,109440.3671875,10600.723297298973
2025-05-27,98819.13334897361,2025-05-27,108994.640625,10175.507276026387
2025-05-28,98925.55260889245,2025-05-28,107802.328125,8876.775516107547
2025-05-29,98888.12552161528,2025-05-29,105641.7578125,6753.632290884721
2025-05-30,98937.10792279155,2025-05-30,103998.5703125,5061.462389708453
2025-05-31,98964.75921516366,2025-05-31,104638.09375,5673.334534836336
2025-06-01,98976.08420559611,2025-06-01,105652.1015625,6676.017356903889
2025-06-02,99033.52062965035,2025-06-02,105881.53125,6848.010620349654
2025-06-03,99035.03354982047,2025-06-03,105432.46875,6397.435200179534
2025-06-04,99160.19650900365,2025-06-04,104731.984375,5571.787865996346
2025-06-05,99137.63428065444,2025-06-05,101575.953125,2438.3188443455583
2025-06-06,99197.15097907082,2025-06-06,104390.34375,5193.192770929178
2025-06-07,99230.71289092055,2025-06-07,105615.625,6384.912109079451
2025-06-08,99243.19687584086,2025-06-08,105793.6484375,6550.451561659138
2025-06-09,99297.07965261722,2025-06-09,110294.1015625,10997.02190988278
2025-06-10,99290.52917675026,2025-06-10,110257.234375,10966.705198249736
2025-06-11,99403.47814494376,2025-06-11,108686.625,9283.146855056242
2025-06-12,99365.05474993127,2025-06-12,105929.0546875,6563.999937568733
2025-06-13,99405.6948492049,2025-06-13,106090.96875,6685.273900795102
2025-06-14,99418.10541396748,2025-06-14,105472.40625,6054.300836032518
2025-06-15,99407.99070058824,2025-06-15,105552.0234375,6144.032736911759
2025-06-16,99438.71712655414,2025-06-16,106796.7578125,7358.04068594586
2025-06-17,99409.37877331336,2025-06-17,104601.1171875,5191.738414186635
2025-06-18,99500.84429813066,2025-06-18,104883.328125,5382.483826869342
2025-06-19,99443.16113327551,2025-06-19,104684.2890625,5241.127929224487
2025-06-20,99467.64187778546,2025-06-20,103309.6015625,3841.959684714544
2025-06-21,99467.80345568867,2025-06-21,102257.40625,2789.6027943113295
2025-06-22,99450.07113686045,2025-06-22,100987.140625,1537.0694881395466
2025-06-23,99478.42398498459,2025-06-23,105577.7734375,6099.349452515409
2025-06-24,99452.44415070185,2025-06-24,106045.6328125,6593.188661798151
2025-06-25,99553.35118826717,2025-06-25,107361.2578125,7807.906624232826
2025-06-26,99511.39756118266,2025-06-26,106960.0,7448.602438817339
2025-06-27,99557.95041381306,2025-06-27,107088.4296875,7530.479273686942
2025-06-28,99586.43023641259,2025-06-28,107327.703125,7741.272888587409
2025-06-29,99603.01845561515,2025-06-29,108385.5703125,8782.55185688485
2025-06-30,99671.31033710334,2025-06-30,107135.3359375,7464.025600396664
2025-07-01,99690.37533432094,2025-07-01,105698.28125,6007.905915679061
2025-07-02,99840.80568106748,2025-07-02,108859.3203125,9018.514631432525
2025-07-03,99852.128929489,2025-07-03,109647.9765625,9795.847633010999
2025-07-04,99954.90897804649,2025-07-04,108034.3359375,8079.426959453514
2025-07-05,100041.705632728,2025-07-05,108231.1796875,8189.474054771999
2025-07-06,100117.80411559367,2025-07-06,109232.0703125,9114.266196906334
2025-07-07,100245.89027423561,2025-07-07,108299.8515625,8053.961288264385
2025-07-08,100324.13299638937,2025-07-08,108950.2734375,8626.140441110634
2025-07-09,100532.25401972435,2025-07-09,111326.5546875,10794.30066777565
2025-07-10,100598.96026956575,2025-07-10,115987.203125,15388.242855434248
2025-07-11,100754.06275527454,2025-07-11,117516.9921875,16762.929432225457
2025-07-12,100889.45162342879,2025-07-12,117435.2265625,16545.774939071212
2025-07-13,101009.8384171497,2025-07-13,119116.1171875,18106.278770350298
2025-07-14,101177.44101968581,2025-07-14,119849.703125,18672.262105314192
2025-07-15,101290.072606502,2025-07-15,117777.1875,16487.114893498
2025-07-16,101527.21471449973,2025-07-16,118738.5078125,17211.29309800027
2025-07-17,101617.44957849877,2025-07-17,119289.84375,17672.394171501233
2025-07-18,101790.57587902136,2025-07-18,118003.2265625,16212.650683478641
2025-07-19,101938.57770314132,2025-07-19,117939.9765625,16001.398859358684
2025-07-20,102066.35805337132,2025-07-20,117300.7890625,15234.431009128675
2025-07-21,102236.41273980454,2025-07-21,117439.5390625,15203.126322695462
2025-07-22,102346.90639571798,2025-07-22,119995.4140625,17648.507666782025
2025-07-23,102577.73118607042,2025-07-23,118754.9609375,16177.229751429579
2025-07-24,102657.92384943328,2025-07-24,118368.0,15710.076150566718
